encoder,accuracy,max_severity,mean_severity,violation_rate
rate,0.746,0.199999999999995,0.0009750265439351289,0.429
sparse,0.7085,2.2600094479529683e-07,2.5528172665268316e-08,0.4065
temporal,0.734,5.3999999999998645,0.025275025141983605,0.424
optim,0.7425,0.199999999999995,0.0008625259292622324,0.428
