encoder,iter,coverage_size,new_bins
optim,51,21,0
optim,52,21,0
optim,53,21,0
optim,54,21,0
optim,55,21,0
optim,56,22,1
optim,57,22,0
optim,58,22,0
optim,59,22,0
optim,60,22,0
optim,61,22,0
optim,62,22,0
optim,63,22,0
optim,64,22,0
optim,65,22,0
optim,66,22,0
optim,67,22,0
optim,68,22,0
optim,69,22,0
optim,70,22,0
optim,71,22,0
optim,72,22,0
optim,73,22,0
optim,74,22,0
optim,75,22,0
optim,76,22,0
optim,77,22,0
optim,78,22,0
optim,79,22,0
