encoder,min_accuracy,max_severity,min_TSI,TSI_P,TSI_R,R_safe,utility
rate,0.1505,0.22499999999999437,0.01367559331162019,0.77421875,0.6668780578438066,0.1562500282501142,1.2848467795936922
sparse,0.151,2.880891164321895e-07,0.010347062911953276,0.7077499999999999,0.601976821155938,2.9414271317603844e-07,1.3097265270132248
temporal,0.142,5.3999999999998645,0.07847462216122165,0.7443124999999999,0.6604958146106357,4.089062528250016,-2.684254213639381
optim,0.1555,0.22499999999999437,0.012807204337970625,0.770125,0.6506627828788791,0.12500002825011494,1.2957877546287642
