encoder,accuracy,max_severity,mean_severity,violation_rate
rate,0.301,0.49999999999998745,0.003750026238461255,0.487
sparse,0.3,2.2600094479529683e-07,2.7254223837051487e-08,0.414
temporal,0.304,0.49999999999998745,0.0037500200495123033,0.4
optim,0.3,0.49999999999998745,0.00375002518792939,0.459
