encoder,op,level,dist_h0,dist_h1,topo_dist,TSI,tau_scale
rate,clean,0.0,0.0,0.0,0.0,1.0,0.4195065200328827
rate,clean,0.25,0.0,0.0,0.0,1.0,0.4195065200328827
rate,clean,0.5,0.0,0.0,0.0,1.0,0.4195065200328827
rate,clean,0.75,0.0,0.0,0.0,1.0,0.4195065200328827
rate,clean,1.0,0.0,0.0,0.0,1.0,0.4195065200328827
rate,noise,0.0,0.0,0.0,0.0,1.0,0.4195065200328827
rate,noise,0.25,0.1904926896095276,0.1890554428100586,0.3795481324195862,0.4046434109235914,0.4195065200328827
rate,noise,0.5,0.5480365753173828,0.1784954071044922,0.726531982421875,0.17695268094167482,0.4195065200328827
rate,noise,0.75,1.1420139074325562,0.22429844737052917,1.3663123548030853,0.03850560681011942,0.4195065200328827
rate,noise,1.0,1.1420139074325562,0.22429844737052917,1.3663123548030853,0.03850560681011942,0.4195065200328827
rate,blur,0.0,0.0,0.0,0.0,1.0,0.4195065200328827
rate,blur,0.25,0.11163687705993652,0.08275449275970459,0.1943913698196411,0.62915285100544,0.4195065200328827
rate,blur,0.5,0.18360400199890137,0.12322413921356201,0.3068281412124634,0.481233559288587,0.4195065200328827
rate,blur,0.75,0.13125944137573242,0.2285851240158081,0.3598445653915405,0.42410228015351,0.4195065200328827
rate,blur,1.0,0.18478870391845703,0.22059333324432373,0.40538203716278076,0.38047655530116326,0.4195065200328827
rate,dropout,0.0,0.0,0.0,0.0,1.0,0.4195065200328827
rate,dropout,0.25,0.24230289459228516,0.1291186809539795,0.37142157554626465,0.4125584605091056,0.4195065200328827
rate,dropout,0.5,0.3314192295074463,0.31431323289871216,0.6457324624061584,0.2145383413777482,0.4195065200328827
rate,dropout,0.75,0.30893123149871826,0.12469977140426636,0.4336310029029846,0.35569940210767814,0.4195065200328827
rate,dropout,1.0,0.19232845306396484,0.11183637380599976,0.3041648268699646,0.4842984779046145,0.4195065200328827
rate,occlusion,0.0,0.0,0.0,0.0,1.0,0.4195065200328827
rate,occlusion,0.25,0.29261791706085205,0.1091606616973877,0.40177857875823975,0.3837588326528343,0.4195065200328827
rate,occlusion,0.5,0.33261001110076904,0.14397746324539185,0.4765874743461609,0.32107937694960587,0.4195065200328827
rate,occlusion,0.75,0.4675586223602295,0.11742866039276123,0.5849872827529907,0.2479655896375178,0.4195065200328827
rate,occlusion,1.0,0.9233479499816895,0.11237263679504395,1.0357205867767334,0.08467776390650292,0.4195065200328827
sparse,clean,0.0,0.0,0.0,0.0,1.0,0.5203130841255188
sparse,clean,0.25,0.0,0.0,0.0,1.0,0.5203130841255188
sparse,clean,0.5,0.0,0.0,0.0,1.0,0.5203130841255188
sparse,clean,0.75,0.0,0.0,0.0,1.0,0.5203130841255188
sparse,clean,1.0,0.0,0.0,0.0,1.0,0.5203130841255188
sparse,noise,0.0,0.0,0.0,0.0,1.0,0.5203130841255188
sparse,noise,0.25,0.3927847146987915,0.14460456371307373,0.5373892784118652,0.35600194833363225,0.5203130841255188
sparse,noise,0.5,0.8282992243766785,0.14460456371307373,0.9729037880897522,0.15414785818799814,0.5203130841255188
sparse,noise,0.75,0.8432990908622742,0.14460456371307373,0.9879036545753479,0.14976744435165282,0.5203130841255188
sparse,noise,1.0,0.8432990908622742,0.14460456371307373,0.9879036545753479,0.14976744435165282,0.5203130841255188
sparse,blur,0.0,0.0,0.0,0.0,1.0,0.5203130841255188
sparse,blur,0.25,0.09543609619140625,0.20043426752090454,0.2958703637123108,0.5662955863745233,0.5203130841255188
sparse,blur,0.5,0.111122727394104,0.14947509765625,0.260597825050354,0.6060164727687792,0.5203130841255188
sparse,blur,0.75,0.10313761234283447,0.10438573360443115,0.20752334594726562,0.6710959074367124,0.5203130841255188
sparse,blur,1.0,0.08164012432098389,0.15716111660003662,0.2388012409210205,0.6319425286419437,0.5203130841255188
sparse,dropout,0.0,0.0,0.0,0.0,1.0,0.5203130841255188
sparse,dropout,0.25,0.31603527069091797,0.14460456371307373,0.4606398344039917,0.412585095665345,0.5203130841255188
sparse,dropout,0.5,0.3937225341796875,0.10951435565948486,0.5032368898391724,0.380153209470026,0.5203130841255188
sparse,dropout,0.75,0.7105196714401245,0.17274034023284912,0.8832600116729736,0.18313075493431685,0.5203130841255188
sparse,dropout,1.0,0.4307945966720581,0.16698765754699707,0.5977822542190552,0.31698858059099067,0.5203130841255188
sparse,occlusion,0.0,0.0,0.0,0.0,1.0,0.5203130841255188
sparse,occlusion,0.25,0.07736372947692871,0.16963088512420654,0.24699461460113525,0.6220692665219646,0.5203130841255188
sparse,occlusion,0.5,0.16245120763778687,0.14460456371307373,0.3070557713508606,0.5542515933529312,0.5203130841255188
sparse,occlusion,0.75,0.39987170696258545,0.14345407485961914,0.5433257818222046,0.35196323370784455,0.5203130841255188
sparse,occlusion,1.0,0.5342978239059448,0.14460456371307373,0.6789023876190186,0.2712278824547551,0.5203130841255188
temporal,clean,0.0,0.0,0.0,0.0,1.0,0.5643567442893982
temporal,clean,0.25,0.0,0.0,0.0,1.0,0.5643567442893982
temporal,clean,0.5,0.0,0.0,0.0,1.0,0.5643567442893982
temporal,clean,0.75,0.0,0.0,0.0,1.0,0.5643567442893982
temporal,clean,1.0,0.0,0.0,0.0,1.0,0.5643567442893982
temporal,noise,0.0,0.0,0.0,0.0,1.0,0.5643567442893982
temporal,noise,0.25,0.5745749473571777,0.12604022026062012,0.7006151676177979,0.2889677374854085,0.5643567442893982
temporal,noise,0.5,1.4731624126434326,0.13311654329299927,1.6062789559364319,0.05806384883127723,0.5643567442893982
