encoder,min_accuracy,max_severity,min_TSI,TSI_P,TSI_R,R_safe,utility
rate,0.289,0.49999999999998745,0.03850560681011942,0.37799999999999995,0.5673842997674884,0.3156250423751692,0.6297592573923192
sparse,0.267,2.880891164321895e-07,0.14976744435165282,0.37424999999999997,0.6485878004465668,2.8638169172142685e-07,1.022837514064875
temporal,0.278,5.3999999999998645,0.04334450622548019,0.3798125,0.6001265428005508,0.6015625603807319,0.3783764824198189
optim,0.259,0.49999999999998745,0.020578845335018463,0.37212500000000004,0.5435934474973402,0.3125000423751693,0.603218405122171
