encoder,corr_TSI_Acc,corr_TSI_Sev,corr_Acc_Sev
rate,0.18221244571171685,0.47879439496881326,-0.2870775538463378
sparse,0.4352515247951237,0.20039336913949285,0.40052278908703387
temporal,0.0011186153690709996,0.08563401696121635,-0.12401164744207238
optim,0.31672409796654166,0.6067888719643634,-0.1339309854221159
