encoder,iter,coverage_size,new_bins
optim,51,67,0
optim,52,67,0
optim,53,67,0
optim,54,67,0
optim,55,67,0
optim,56,67,0
optim,57,67,0
optim,58,68,1
optim,59,68,0
optim,60,68,0
optim,61,68,0
optim,62,68,0
optim,63,68,0
optim,64,68,0
optim,65,68,0
optim,66,68,0
optim,67,68,0
optim,68,68,0
optim,69,68,0
optim,70,68,0
optim,71,68,0
optim,72,68,0
optim,73,68,0
optim,74,68,0
optim,75,68,0
optim,76,68,0
optim,77,69,1
optim,78,69,0
optim,79,69,0
