encoder,min_accuracy,max_severity,min_TSI,TSI_P,TSI_R,R_safe,utility
rate,0.27375,2.149999999999946,0.016400909317065508,0.36984375,0.5862735756022587,1.1015625282500903,-0.14544520264783156
sparse,0.25875,2.880891164321895e-07,0.030922600598863856,0.355390625,0.6323065390093444,2.7085964881220367e-07,0.9876968931496956
temporal,0.27125,5.3999999999998645,0.06877365860237143,0.36328125,0.6150833792916659,1.395312528250083,-0.416947898958417
optim,0.245,2.149999999999946,0.058994033582294214,0.36882812499999995,0.6306842823120989,1.1078125282500906,-0.10830012093799168
