encoder,accuracy,max_severity,mean_severity,violation_rate
rate,0.305,2.149999999999946,0.009156277390196704,0.495
sparse,0.29125,2.2600094479529683e-07,2.8296684239241998e-08,0.425
temporal,0.28875,2.149999999999946,0.009156275105351986,0.46875
optim,0.3,2.149999999999946,0.009156276666869502,0.47875
