epoch,train_acc,val_acc,train_loss,val_loss
1,0.25,0.25,1.3863860309123992,1.3863891553878784
2,0.25,0.25,1.38629821062088,1.3863038778305055
3,0.25,0.25,1.3862948060035705,1.3863008451461791
4,0.25,0.25,1.3863299548625947,1.3863526058197022
5,0.2959375,0.2878125,1.3856589460372926,1.385897388458252
6,0.314140625,0.2878125,1.366552838087082,1.3778393125534059
7,0.316328125,0.2915625,1.3590974187850953,1.3765130472183227
8,0.33015625,0.298125,1.3545317244529724,1.377148847579956
