benchmark,encoder,op,level,accuracy,n_test,correct_approx,accuracy_CI95_low,accuracy_CI95_high,CI_method
emnist_letters,sparse,occlusion,0.0,0.668,2000,1336,0.6471,0.6883,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,occlusion,0.25,0.653,2000,1306,0.6319,0.6736,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,occlusion,0.5,0.5235,2000,1047,0.5016,0.5453,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,occlusion,0.75,0.279,2000,558,0.2598,0.2991,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,sparse,occlusion,1.0,0.1165,2000,233,0.1032,0.1313,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,clean,0.0,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,clean,0.25,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,clean,0.5,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,clean,0.75,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,clean,1.0,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,noise,0.0,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,noise,0.25,0.6615,2000,1323,0.6405,0.6819,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,noise,0.5,0.594,2000,1188,0.5723,0.6153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,noise,0.75,0.4115,2000,823,0.3901,0.4332,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,noise,1.0,0.237,2000,474,0.2189,0.2561,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,blur,0.0,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,blur,0.25,0.6905,2000,1381,0.6699,0.7104,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,blur,0.5,0.6835,2000,1367,0.6628,0.7035,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,blur,0.75,0.679,2000,1358,0.6582,0.6991,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,blur,1.0,0.6705,2000,1341,0.6496,0.6908,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,dropout,0.0,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,dropout,0.25,0.6335,2000,1267,0.6121,0.6543,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,dropout,0.5,0.5315,2000,1063,0.5096,0.5533,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,dropout,0.75,0.413,2000,826,0.3916,0.4347,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,dropout,1.0,0.305,2000,610,0.2852,0.3255,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,occlusion,0.0,0.69,2000,1380,0.6694,0.7099,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,occlusion,0.25,0.6685,2000,1337,0.6476,0.6888,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,occlusion,0.5,0.516,2000,1032,0.4941,0.5379,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,occlusion,0.75,0.2555,2000,511,0.2369,0.2751,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,temporal,occlusion,1.0,0.096,2000,192,0.0839,0.1097,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,clean,0.0,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,clean,0.25,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,clean,0.5,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,clean,0.75,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,clean,1.0,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,noise,0.0,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,noise,0.25,0.6765,2000,1353,0.6557,0.6966,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,noise,0.5,0.559,2000,1118,0.5371,0.5806,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,noise,0.75,0.363,2000,726,0.3422,0.3843,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,noise,1.0,0.2085,2000,417,0.1913,0.2269,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,blur,0.0,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,blur,0.25,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,blur,0.5,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,blur,0.75,0.6955,2000,1391,0.675,0.7153,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,blur,1.0,0.6895,2000,1379,0.6689,0.7094,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,dropout,0.0,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,dropout,0.25,0.6605,2000,1321,0.6395,0.6809,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,dropout,0.5,0.599,2000,1198,0.5774,0.6203,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,dropout,0.75,0.5105,2000,1021,0.4886,0.5324,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,dropout,1.0,0.3895,2000,779,0.3684,0.4111,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,occlusion,0.0,0.6945,2000,1389,0.674,0.7143,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,occlusion,0.25,0.676,2000,1352,0.6552,0.6962,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,occlusion,0.5,0.5205,2000,1041,0.4986,0.5423,Wilson binomial CI based on reported accuracy and test-set size
emnist_letters,optim,occlusion,0.75,0.279,2000,558,0.2598,0.2991,Wilson binomial CI based on reported accuracy and test-set size
