,precision,recall,f1-score,support
none,0.3228346456692913,0.205,0.25076452599388377,200.0
person,0.2883435582822086,0.47,0.3574144486692015,200.0
car,0.36585365853658536,0.375,0.37037037037037035,200.0
both,0.34507042253521125,0.245,0.28654970760233917,200.0
accuracy,0.32375,0.32375,0.32375,0.32375
macro avg,0.33052557125582416,0.32375,0.3162747631589487,800.0
weighted avg,0.3305255712558241,0.32375,0.31627476315894865,800.0
