benchmark,encoder,n_test,accuracy,balanced_accuracy,macro_f1,prediction_csv,confusion_matrix_csv,classification_report_csv,confusion_matrix_png
coco_4cls,rate,1000,0.301,0.301,0.2932,COCO_clean_predictions_rate.csv,COCO_confusion_matrix_rate.csv,COCO_classification_report_rate.csv,COCO_confusion_matrix_rate.png
coco_4cls,sparse,1000,0.3,0.3,0.2892,COCO_clean_predictions_sparse.csv,COCO_confusion_matrix_sparse.csv,COCO_classification_report_sparse.csv,COCO_confusion_matrix_sparse.png
coco_4cls,temporal,1000,0.304,0.304,0.297,COCO_clean_predictions_temporal.csv,COCO_confusion_matrix_temporal.csv,COCO_classification_report_temporal.csv,COCO_confusion_matrix_temporal.png
coco_4cls,optim,1000,0.3,0.3,0.292,COCO_clean_predictions_optim.csv,COCO_confusion_matrix_optim.csv,COCO_classification_report_optim.csv,COCO_confusion_matrix_optim.png
