,precision,recall,f1-score,support
none,0.281786941580756,0.328,0.3031423290203327,250.0
person,0.3181818181818182,0.28,0.2978723404255319,250.0
car,0.32238805970149254,0.432,0.36923076923076925,250.0
both,0.2857142857142857,0.176,0.21782178217821782,250.0
accuracy,0.304,0.304,0.304,0.304
macro avg,0.30201777629458815,0.304,0.29701680521371293,1000.0
weighted avg,0.30201777629458815,0.304,0.29701680521371293,1000.0
