,precision,recall,f1-score,support
none,0.2756183745583039,0.312,0.2926829268292683,250.0
person,0.31092436974789917,0.296,0.30327868852459017,250.0
car,0.3185840707964602,0.432,0.366723259762309,250.0
both,0.29285714285714287,0.164,0.21025641025641026,250.0
accuracy,0.301,0.301,0.301,0.301
macro avg,0.29949598948995154,0.301,0.29323532134314445,1000.0
weighted avg,0.2994959894899515,0.301,0.2932353213431444,1000.0
