,precision,recall,f1-score,support
none,0.3010752688172043,0.14,0.19112627986348124,200.0
person,0.2906574394463668,0.42,0.34355828220858897,200.0
car,0.3201219512195122,0.525,0.3977272727272727,200.0
both,0.26666666666666666,0.12,0.16551724137931034,200.0
accuracy,0.30125,0.30125,0.30125,0.30125
macro avg,0.29463033153743745,0.30125,0.27448226904466333,800.0
weighted avg,0.2946303315374375,0.30125,0.27448226904466333,800.0
