benchmark,encoder,min_accuracy,max_severity,min_TSI,TSI_P,TSI_R,R_safe,utility
emnist_letters,rate,0.1383333333333333,0.2249999999999943,0.0060083443627152,0.8318333333333334,0.6427276799934745,0.1609375282501141,1.3136234850766937
emnist_letters,sparse,0.1433333333333333,2.880891164321895e-07,0.0722278738355158,0.7653333333333333,0.6494935578426232,2.8638169172142685e-07,1.4148266047942648
emnist_letters,temporal,0.1296666666666666,5.3999999999998645,0.0782023749732779,0.8177916666666667,0.6159994025759193,4.090625032130527,-2.6568339628879407
emnist_letters,optim,0.1436666666666666,0.2249999999999943,0.0158410046183096,0.8342291666666667,0.6039378312582863,0.1437500282501145,1.2944169696748384
coco_4cls,rate,0.289,0.4999999999999874,0.0385056068101194,0.3779999999999999,0.5673842997674884,0.3156250423751692,0.6297592573923192
coco_4cls,sparse,0.267,2.880891164321895e-07,0.1497674443516528,0.3742499999999999,0.6485878004465668,2.8638169172142685e-07,1.022837514064875
coco_4cls,temporal,0.278,5.3999999999998645,0.0433445062254801,0.3798125,0.6001265428005508,0.6015625603807319,0.3783764824198189
coco_4cls,optim,0.259,0.4999999999999874,0.0205788453350184,0.372125,0.5435934474973402,0.3125000423751693,0.603218405122171
