encoder,op,level,dist_h0,dist_h1,topo_dist,TSI,tau_scale
rate,clean,0.0,0.0,0.0,0.0,1.0,3.8235578536987305
rate,clean,0.25,0.0,0.0,0.0,1.0,3.8235578536987305
rate,clean,0.5,0.0,0.0,0.0,1.0,3.8235578536987305
rate,clean,0.75,0.0,0.0,0.0,1.0,3.8235578536987305
rate,clean,1.0,0.0,0.0,0.0,1.0,3.8235578536987305
rate,noise,0.0,0.0,0.0,0.0,1.0,3.8235578536987305
rate,noise,0.25,1.9104156494140625,1.4711999893188477,3.38161563873291,0.4129552799819915,3.8235578536987305
rate,noise,0.5,4.0894365310668945,1.6114187240600586,5.700855255126953,0.2251514883053057,3.8235578536987305
rate,noise,0.75,5.2667951583862305,2.428508758544922,7.695303916931152,0.13364035883151248,3.8235578536987305
rate,noise,1.0,5.718072891235352,2.6348648071289062,8.352937698364258,0.11252293353437504,3.8235578536987305
rate,blur,0.0,0.0,0.0,0.0,1.0,3.8235578536987305
rate,blur,0.25,0.27748966217041016,0.5129985809326172,0.7904882431030273,0.8132298093214264,3.8235578536987305
rate,blur,0.5,0.4341883659362793,0.7441520690917969,1.1783404350280762,0.7347837416529824,3.8235578536987305
rate,blur,0.75,0.8129720687866211,0.9795188903808594,1.7924909591674805,0.6257515694739102,3.8235578536987305
rate,blur,1.0,0.5769805908203125,0.9024715423583984,1.479452133178711,0.6791381191410891,3.8235578536987305
rate,dropout,0.0,0.0,0.0,0.0,1.0,3.8235578536987305
rate,dropout,0.25,1.2217588424682617,1.0679473876953125,2.289706230163574,0.5494476433356881,3.8235578536987305
rate,dropout,0.5,1.6775250434875488,1.6166515350341797,3.2941765785217285,0.4225077599431518,3.8235578536987305
rate,dropout,0.75,2.777679443359375,1.6413154602050781,4.418994903564453,0.31482809113605237,3.8235578536987305
rate,dropout,1.0,3.1759424209594727,1.7153997421264648,4.8913421630859375,0.2782418475749242,3.8235578536987305
rate,occlusion,0.0,0.0,0.0,0.0,1.0,3.8235578536987305
