encoder,min_accuracy,max_severity,min_TSI,TSI_P,TSI_R,R_safe,utility
rate,0.13833333333333334,0.22499999999999437,0.006008344362715292,0.8318333333333334,0.6427276799934745,0.1609375282501141,1.3136234850766937
sparse,0.14333333333333334,2.880891164321895e-07,0.07222787383551589,0.7653333333333333,0.6494935578426232,2.8638169172142685e-07,1.4148266047942648
temporal,0.12966666666666668,5.3999999999998645,0.07820237497327799,0.8177916666666667,0.6159994025759193,4.090625032130527,-2.6568339628879407
optim,0.14366666666666666,0.22499999999999437,0.015841004618309697,0.8342291666666667,0.6039378312582863,0.14375002825011451,1.2944169696748384
