encoder,accuracy,max_severity,mean_severity,violation_rate
rate,0.8,0.199999999999995,0.001041693557467713,0.43866666666666665
sparse,0.773,2.2600094479529683e-07,2.645038897485184e-08,0.412
temporal,0.7933333333333333,5.3999999999998645,0.01724169215096326,0.42866666666666664
optim,0.802,0.199999999999995,0.0009083591206206122,0.43033333333333335
