encoder,corr_TSI_Acc,corr_TSI_Sev,corr_Acc_Sev
rate,0.7969214121636728,0.4022420197139107,0.04786334269590052
sparse,0.7807412666522964,0.1591182771487932,0.166001623955021
temporal,0.7539345625173439,0.0818820014782193,-0.10448750203851412
optim,0.7598458568088614,0.5035851015165355,0.05130862523333837
